CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
556-52-5,DTXSID4020666,Glycidol,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,CTKINSOISVBQLD-UHFFFAOYSA-N,C1C(O1)CO
55738-54-0,DTXSID7020502,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",MC,"IARC, CCRIS, LCDB, Rudel2007",positive,-,RLGAJSNJUZVZTA-HWKANZROSA-N,CN(C)CNC1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-]
5589-96-8,DTXSID4024642,Bromochloroacetic acid,MC,"ROC15, NTP, CCRIS",positive,-,GEHJBWKLJVFKPS-UHFFFAOYSA-N,C(C(=O)O)(Cl)Br
56-23-5,DTXSID8020250,Carbon tetrachloride,MC,"IARC, ROC15, LCDB, Rudel2007",positive,-,VZGDMQKNWNREIO-UHFFFAOYSA-N,C(Cl)(Cl)(Cl)Cl
56-38-2,DTXSID7021100,Parathion,MC,IARC,positive,"E2, P4",LCCNCVORNKJIRZ-UHFFFAOYSA-N,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
56-49-5,DTXSID0020862,3-Methylcholanthrene,MC,"LCDB, Rudel2007",positive,-,PPQNQXQZIWHJRB-UHFFFAOYSA-N,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
56-53-1,DTXSID3020465,Diethylstilbestrol,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,E2,RGLYKWWBQGJZGM-ISLYRVAYSA-N,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
56654-52-5,DTXSID8020418,"1,3-Dibutyl-1-nitrosourea",MC,"LCDB, Rudel2007",positive,-,OWGLVQAUSIPFBA-UHFFFAOYSA-N,CCCCNC(=O)N(CCCC)N=O
569-61-9,DTXSID1021247,C.I. Basic Red 9 monohydrochloride,MC,"ROC15_equivocal, NTP_equivocal, CCRIS, LCDB_equivocal, Rudel2007",positive,-,JUQPZRLQQYSMEQ-UHFFFAOYSA-N,C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl
569-64-2,DTXSID1025512,Malachite green,MC,"IARC, NTP_equivocal, CCRIS_equivocal, Rudel2007",positive,negative,FDZZZRQASAIRJF-UHFFFAOYSA-M,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-]
56932-45-7,DTXSID20205479,"N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine",MC,"CCRIS, Rudel2007",-,-,PQJDXVDLMFCBQD-UHFFFAOYSA-N,C1=CC(=C(C=C1[N+](=O)[O-])N)NC(CO)(CO)CO
5694-00-8,DTXSID2031374,Glycidamide,MC,NTP,positive,negative,FMAZQSYXRGRESX-UHFFFAOYSA-N,C1C(O1)C(=O)N
57-47-6,DTXSID3023471,Physostigmine,MC,CCRIS,negative,-,PIJVFDBKTWXHHD-HIFRSBDPSA-N,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
57-63-6,DTXSID5020576,17alpha-Ethinylestradiol,MC,"IARC, NTP_equivocal, CCRIS, Rudel2007",positive,_NA,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
57-83-0,DTXSID3022370,Progesterone,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,_NA,RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
57-97-6,DTXSID1020510,"7,12-Dimethylbenz(a)anthracene",MC,"CCRIS, Rudel2007",positive,E2,ARSRBNBHOADGJU-UHFFFAOYSA-N,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C
57117-31-4,DTXSID7030066,"2,3,4,7,8-Pentachlorodibenzofuran",MC,"NTP_dismissed, ToxRefDB",-,-,OGBQILNBLMPPDP-UHFFFAOYSA-N,C1=C2C3=CC(=C(C(=C3OC2=CC(=C1Cl)Cl)Cl)Cl)Cl
